Iteration;X;Y;Action;
314;48,8405112496756;6,76557962134423;movebw;
315;49,0141594273425;7,75038737435644;shoot;
316;48,6668630720087;5,78077186833202;movefw;
317;48,8405112496756;6,76557962134423;movebw;
318;48,6668630720087;5,78077186833202;movefw;
319;48,8405112496756;6,76557962134423;movebw;
320;48,6668630720087;5,78077186833202;movefw;
321;48,8405112496756;6,76557962134423;movebw;
322;48,6668630720087;5,78077186833202;movefw;
323;48,8405112496756;6,76557962134423;movebw;
324;48,6668630720087;5,78077186833202;movefw;
325;48,4932148943417;4,79596411531981;movefw;
326;48,3195667166748;3,8111563623076;movefw;
327;48,1459185390079;2,82634860929539;movefw;
328;47,9722703613409;1,84154085628319;movefw;
329;48,1459185390079;2,82634860929539;movebw;
330;47,9722703613409;1,84154085628319;movefw;
331;48,1459185390079;2,82634860929539;movebw;
332;47,9722703613409;1,84154085628319;movefw;
333;48,1459185390079;2,82634860929539;movebw;
334;47,9722703613409;1,84154085628319;movefw;
335;48,1459185390079;2,82634860929539;movebw;
336;47,9722703613409;1,84154085628319;movefw;
337;48,1459185390079;2,82634860929539;movebw;
338;47,9722703613409;1,84154085628319;movefw;
339;47,9722703613409;1,84154085628319;turnleft;
340;47,9722703613409;1,84154085628319;turnleft;
341;47,9722703613409;1,84154085628319;turnleft;
342;47,9722703613409;1,84154085628319;turnleft;
343;47,9722703613409;1,84154085628319;turnleft;
344;47,9722703613409;1,84154085628319;turnleft;
345;47,9722703613409;1,84154085628319;turnleft;
346;47,9722703613409;1,84154085628319;turnleft;
347;47,9722703613409;1,84154085628319;turnleft;
348;47,9722703613409;1,84154085628319;turnleft;
349;47,9722703613409;1,84154085628319;turnleft;
350;47,9722703613409;1,84154085628319;turnleft;
351;47,9722703613409;1,84154085628319;turnleft;
352;47,9722703613409;1,84154085628319;turnleft;
353;47,9722703613409;1,84154085628319;turnleft;
354;47,9722703613409;1,84154085628319;turnleft;
355;47,9722703613409;1,84154085628319;turnleft;
356;47,9722703613409;1,84154085628319;turnleft;
357;47,9722703613409;1,84154085628319;turnleft;
358;47,9722703613409;1,84154085628319;turnleft;
